1hr,2hr,4hr,8hr
989.4740038,633.5656566,822.9542683,1088.643293
811.5521822,1311.929293,983.4359756,2117.45122
571.8163188,1576.753535,1842.192073,32.97865854
529.3434535,354.1434343,1636.356707,20.45121951
641.771537,413.9333333,1739.02439,4216.814024
410.9555977,838.1535354,1366.734756,3752.481707
792.7301708,1063.868687,1649.356707,3863.801829
313.8793169,1000.979798,1661.042683,72.50609756
369.6880455,1321.955556,478.7713415,2343.265244
196.4614801,182.7252525,505.2378049,2964.661585
605.5362429,1444.167677,376.4908537,3044.17378
729.2645161,583.579798,3343.317073,283.9390244
402.3559772,1486.907071,411.6554878,1116.253049
1035.288046,1509.567677,836.2743902,1157.573171
866.3590133,913.3252525,1301.292683,4401.658537
238.0417457,1298.579798,1887.195122,603.847561
428.0713472,275.6343434,1188.484756,1831.969512
417.2705882,732.1434343,1585.606707,1512.039634
986.342315,21.85252525,724.2896341,1103.35061
863.6068311,1180.927273,2452.051829,3419.060976
300.9426945,522.5292929,338.4573171,2066.332317
966.2148008,761.5474747,1677.021341,492.1310976
505.2766603,801.430303,1492.737805,334.9359756
502.3483871,535.9212121,46.63719512,164.6341463
426.4971537,1335.69899,1487.268293,380.6463415
488.7544592,408.5454545,887.7682927,765.2713415
399.4201139,1397.747475,362.6493902,3512.07622
1254.337761,1408.236364,256.5884146,2412.420732
813.1673624,1040.418182,1654.871951,162.8445122
1074.342315,265.2727273,153.277439,1708.469512
1059.63112,897.769697,2836.914634,2269.362805
939.6037951,512.4666667,1357.625,500.3963415
816.3233397,115.3111111,1548.192073,2356.341463
514.0053131,285.9191919,764.5243902,3338.207317
189.9203036,1466.40404,1214.917683,1928.573171
373.370778,852.7636364,1463.301829,2145.32622
107.1908918,853.2909091,730.2317073,833.945122
293.6394687,409.5515152,369.7621951,2607.17378
759.0132827,1944.016162,622.0457317,2686.881098
508.1882353,1222.40202,464.3170732,157.3597561
969.9020873,1154.725253,1032.966463,656.6463415
888.6087287,260.3232323,3540.533537,1524.42378
711.2394687,699.4060606,314.1707317,1583.487805
932.68463,271.6222222,502.6097561,2332.810976
1214.181404,223.5171717,2756.795732,73.74085366
649.5559772,489.5656566,1703.484756,1467.439024
128.0819734,354.3939394,776.0365854,2022.82622
679.4656546,1796.412121,251.6493902,2162.637195
284.4736243,1135.351515,2081.195122,787.2073171
517.1779886,564.4565657,1286.490854,448.1707317
458.9525617,1225.149495,237.1097561,592.1006098
755.5506641,222.2363636,1347.640244,3970.332317
776.4417457,349.2626263,1552.896341,1646.890244
545.9552182,327.0363636,620.7256098,745.3567073
1011.285009,761.1515152,2587.810976,658.6615854
